text,done,user_id
Buy groceries,false,1
Wash the dishes,true,1
Clean the bathroom,false,1
Take out the trash,true,1
Do the laundry,false,1
Iron the clothes,false,1
Vacuum the living room,true,1
Mop the floors,false,1
Water the plants,true,1
Feed the dog,false,1
Walk the dog,true,2
Call the doctor,false,2
Schedule a dentist appointment,false,2
Pay the electricity bill,true,2
Pay the water bill,false,2
Renew car insurance,false,2
Change the car oil,true,2
Fix the leaking tap,false,2
Replace the light bulbs,true,2
Clean the windows,false,2
Study for the exam,false,3
Complete the assignment,true,3
Read chapter 5,false,3
Review lecture notes,true,3
Submit the project,false,3
Attend the study group,true,3
Watch the tutorial video,false,3
Practice coding exercises,true,3
Write the lab report,false,3
Prepare for the presentation,false,3
Buy a birthday gift,true,1
Book a restaurant reservation,false,1
Plan the weekend trip,true,1
Renew library books,false,2
Return borrowed items,true,2
Send the email to the team,false,3
Update the resume,true,3
Apply for the internship,false,3
Back up the laptop,true,1
Update phone software,false,2
